"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
23523917,-70,38,"Fundacion Oceanografic;Seaturtle.org/NCWRC/DUML;Virginia Aquarium & Marine Science Center Foundation;Virginia Aquarium Stranding Response Program","Caretta caretta;Chelonia mydas;Lepidochelys kempii","1018;2133;410;655","2007-09-06","2015-04-04",62,7,3,,,,"7307:370","POLYGON((-70 37,-71 37,-71 38,-70 38,-70 37))"
23348911,-70,39,"Fundacion Oceanografic;Seaturtle.org/NCWRC/DUML","Caretta caretta;Chelonia mydas","2133;655","2007-12-08","2014-03-22",67,4,2,,,,"7307:380","POLYGON((-70 38,-71 38,-71 39,-70 39,-70 38))"
23349132,-70,40,"Fundacion Oceanografic","Caretta caretta;Chelonia mydas","2133","2007-11-30","2012-01-12",27,2,2,,,,"7307:390","POLYGON((-70 39,-71 39,-71 40,-70 40,-70 39))"
23350210,-70,41,"Fundacion Oceanografic","Caretta caretta;Chelonia mydas;Lepidochelys kempii","2133","2007-11-07","2012-01-02",18,4,3,,,,"7407:100","POLYGON((-70 40,-71 40,-71 41,-70 41,-70 40))"
23351120,-70,41,"Fundacion Oceanografic","Lepidochelys kempii","2133","2008-09-30","2008-10-03",4,1,1,,,,"7407:110","POLYGON((-70 41,-71 41,-71 42,-70 42,-70 41))"
24546594,-69,-12,"Projeto TAMAR","Eretmochelys imbricata","984","2005-05-29","2005-05-29",1,1,1,,,,"5106:219","POLYGON((-69 -11,-69 -12,-70 -12,-70 -11,-69 -11))"
24546593,-69,-10,"Projeto TAMAR","Eretmochelys imbricata","984","2005-09-23","2005-09-23",1,1,1,,,,"5106:209","POLYGON((-69 -10,-69 -11,-70 -11,-70 -10,-69 -10))"
24545048,-69,-9,"Projeto TAMAR","Caretta caretta;Eretmochelys imbricata","984","2005-08-28","2008-08-05",2,2,2,,,,"5006:499","POLYGON((-69 -9,-69 -10,-70 -10,-70 -9,-69 -9))"
24547153,-70,3,"Projeto TAMAR","Eretmochelys imbricata","984","2005-04-05","2005-04-05",1,1,1,,,,"7006:239","POLYGON((-69 3,-70 3,-70 4,-69 4,-69 3))"
24547154,-69,4,"Projeto TAMAR","Caretta caretta","984","2007-08-11","2007-08-11",1,1,1,,,,"7006:249","POLYGON((-69 4,-70 4,-70 5,-69 5,-69 4))"
